OperatorRef,LineName,JourneyRef
SCMN,337,7030
SCMN,384,59
SCNH,X10,21
FHAM,PR1,582
FBRI,7,2042
TFLO,141,660297
FBRI,X4,1829
FLDS,X84,1906
SCCM,13,69
TFLO,313,16247
NATX,112,111100
TFLO,286,159578
SSWL,1,221
TFLO,490,362801
SCEM,20,4044
TFLO,115,412211
SCMN,11,62
FHAM,2,175
TFLO,116,120323
SCCU,516,8
WRAY,212,1893
SCMN,396,7003
TFLO,127,259146
AMSY,15,1159
FLDS,33,1924
AMSY,80A,1079
TFLO,128,652460
RBUS,33,92
WRAY,250,2925
TFLO,64,407999
TFLO,128,652561
EYMS,57,0853
FMAN,81,1830
TFLO,13,442496
ROST,402,0854
SCMY,19,164
DAGC,E1,904
NATX,203,203309
LNUD,7,6358
CRDR,74,154
THTR,X40,4036
FBRI,T1,1337
RBUS,702,37
TFLO,27,579046
FBRI,X39,1851
TNXB,79,140
TCVW,85,26
FESX,C11,60
TFLO,SL8,88136
SCMY,38,1060
SCMN,330,137
DAGC,94,143
TNXB,70,47
TNXB,51,127
GNEL,10A,1115
TFLO,27,579182
AMNO,110,1085
HRGT,36,3886
SCMY,2,3
JHCL,834,1610
TFLO,130,313875
FHAM,X5,37
SCNE,6,328
TFLO,133,372687
TFLO,133,372229
SCEK,99,3
TFLO,133,372630
TFLO,5,377460
DIAM,52A,28
SNDR,44,0533
BRYL,B16,1230
SCSO,60,52
SCMN,237,7062
FESX,28,158
SCOX,8,110
TFLO,64,408078
FLDS,86,1825
TFLO,251,331108
SCMY,111,116
SCSO,Puls,93
TFLO,134,
NATX,540,455801
TFLO,270,58519
TFLO,135,50122
SCMY,84,51
SCEM,10,1061
ANEA,48,1072
ACYM,2C,1045
UNIL,U1C,1731
FSYO,76,1546B
BNGN,10,1127
TFLO,153,558643
FESX,25,82
NATX,777,777256
SSWL,A,68
FYOR,4,2044
SCCM,A,123
FESX,B3,111
WRAY,200,1106
RLNE,X20,1718
FBRI,173,1940
CBBH,324,2105
DAGC,16,111
SCSO,17,30
TFLO,164,125953
WBTR,22,8424
RBUS,26,129
FESX,X30,59
SCGL,462,8
NADS,731,25
VISB,94,2034
GNEL,893N,8931
SCOX,1,180
FESX,27,103
TNXB,1,12
DIAM,40,134
GHCT,42,1740
SCSO,20,67
HCTY,412,1835
FESX,S6,28
TFLO,165,111204
TFLO,108,19712
SCOX,H2,5
TFLO,W8,247741
FHUD,328,1825
NT,58,NT58-In-31058-NT3300GE0363-2024-02-12T18:09:00-2024-02-12
AMBS,73C,1620
SCSO,23,154
TFLO,171,37844
TFLO,306,465210
FPOT,25,2059
BNGN,163,1127
SCNE,63,99
FLDS,12,2101
TFLO,38,379957
SCNE,317,58
DAGC,37,125
TFLO,180,400553
SDVN,FAL,122
FESX,X20,136
SDVN,357,58
GNEL,57,5759
TCVW,20,214
SCMY,10A,93
BLAC,5b,1087
TCVW,12X,208
ARBB,755,1034
SCOX,500,130
FMAN,411,1800
OXBC,OXF,7008
SCMN,142,6053
SCGL,A,88
ANEA,X26,1054
TFLO,EL1,179780
EYMS,75,9049
TFLO,171,38045
SCGL,94,112
