OperatorRef,LineName,JourneyRef
FBRI,24,2026
TFLO,259,533057
BNDB,537,1900
BNDB,132,1910
SBS,242,1840
SCGL,10,68
SCGL,53,13
SBS,101,1910
SCGL,10,82
SCCU,40,51
TFLO,80,222427
SCNH,X17,46
SCEM,10,1067
SCEM,15,1066
TFLO,26,230635
SCNH,U1,807
TFLO,260,695545
GNEL,53,3116
SCSO,53,126
GNEL,X21,239
LLCO,T2,1935
SCEM,1A,6047
GNEL,2A,2105
SCEM,4,4108
ANEA,X4,1047
SCNH,148,152
ANEA,16,1036
SCEM,9,51
TFLO,261,544951
FBOS,58A,5
PLYC,999,999
NATX,400,400204
SCMN,43,149
SCMN,219,2196
SCMN,42B,7039
SCNH,48A,41
GNEL,35,3550
SCMN,237,7083
GNEL,35,3554
TNXB,4M,306
SCNH,3,75
SULV,306,52
SULV,84,56
TFLO,269,112190
SCSO,700,117
SCOX,S1,89
TFLO,W13,
SCSO,700,152
YTNB,758,VJ15
SCNH,2,27
FCYM,T1,1435
TFLO,26,230681
TFLO,263,382954
TFLO,20,537729
BNGN,36,1136
TFLO,W16,310223
BNGN,37,1131
TFLO,20,537657
BNGN,37,1129
ANEA,2,1111
SCSO,1,807
TNXB,3,177
TFLO,20,537764
SCOX,B5,97
SCCU,1A,187
DAGC,E1,905
BNGN,9,1128
DAGC,95,418
SDVN,21A,128
CRDR,841,428
AMSY,14,1133
SCSO,21,37
DAGC,5,163
SCSO,18,57
SDVN,35C,53
SDVN,31,49
SCGL,9,53
TFLO,364,201468
TFLO,P12,346879
SDVN,31,55
TFLO,P13,207032
SCMN,118,102
TFLO,203,51011
BNGN,7,1089
TFLO,113,313167
TFLO,261,545057
SDVN,35C,51
BNGN,9,1117
FALC,479,1800
SDVN,19,153
HCTY,64,1842
SDVN,H,48
TFLO,365,288815
VECT,9C,9013
SDVN,P,48
SDVN,348,25
BNGN,472,1081
SSWL,T14,17
TFLO,366,613620
TFCN,75,9
SSWL,T4,94
SSWL,150,43
SDVN,FAL,131
TFLO,368,326794
SSWL,130,99
TFLO,P4,595134
TFLO,366,613841
CBBH,10A,1915
NATX,022,107132
TFLO,385,229561
SCMY,127,25
ARBB,4,1106
BNGN,582,1145
GNEL,25,2521
BNGN,582,1136
GNEL,8,834
SCMY,17,166
GNEL,65,1539
BNGN,163,1139
BNGN,524,1132
ARHE,1,1181
TFLO,46,626585
TFLO,371,98327
BNGN,524,1137
SSWL,122,124
BNGN,8,1109
SSWL,132,270
TFLO,46,626232
NATX,A1,102183
SSWL,5A,101
TCNT,4,1725
SCMN,197,51
SCMN,50,166
DEWS,904,1630
TFLO,121,311255
WACT,637,1605
SSWL,151,227
SSWL,172,904
SCSO,5,71
TFLO,474,120065
TFLO,277,128600
TFLO,474,119947
BNGN,163,1130
FYOR,11,1246
GNEL,355,5553
FYOR,3,1959
BNGN,7,1088
BNGN,571,1049
SYRK,X17,22
BNGN,630,1025
BNGN,576,1170
BNGN,20,1062
BNGN,613,1025
SCMY,38A,1059
SCMY,21,93
TFLO,278,462506
HDGS,79,7911
SFGC,39A,397
TFLO,279,402688
TFLO,279,402522
TFLO,264,28449
BNGN,10,1103
PLYC,42,182
SCMY,19,9
SCMY,217,90
REDE,1,1430
SCMY,61,58
TFLO,279,402333
TFLO,279,402842
TFLO,279,402597
TFLO,279,402715
TFLO,279,402810
HRBT,85A,9
TFLO,274,529909
TFLO,274,529814
VISB,62,1900
TFLO,280,267066
SCTP,H1,1800
TFLO,274,529864
TFLO,433,217388
METR,291,934
TFLO,28,419833
VISB,113,2059
TFCN,73A,29
ARHE,SB3,1085
SSWL,21,43
MDCL,12E,39
BNGN,22,1057
TFLO,275,530201
TFLO,275,530315
BNDB,521,2100
TFLO,390,474687
RSTY,119,1910
AMSY,52,1135
SCCM,1,139
GNEL,Q3,3091
MDCL,9,61
SCCU,1A,231
TFLO,277,128835
GNEL,Q3,3083
SCCU,555,30
AMSY,81A,1093
GNEL,307,775
GNEL,12,1250
GNEL,16,1689
TNXB,X51,164
TFLO,313,16140
GNEL,50,5055
AMSY,407,1071
TFLO,283,591102
GONW,33,0053
SYRK,88,39
SMMC,428,1838
TFLO,316,308434
AMSY,80A,1098
SCCU,67,119
TFLO,316,308398
SYRK,57A,554
CHLK,334,1800
TFLO,381,336028
GNEL,680,9713
TFLO,279,402355
IPSW,5,92
GNEL,60,701
SCCU,1,107
GNEL,351,8127
GNEL,359,8923
SCCU,600,16
TFLO,63,295910
TFLO,279,402453
TFLO,279,402305
MDCL,17,13
GNEL,20,2097
SCCU,300,29
TFLO,318,131919
TFLO,279,402467
SCCM,PR1,1131
SCCU,3A,48
AMSY,17,1053
SCMN,101,7113
SCMN,383,75
GNEL,Q3,3079
MDCL,402,33
IPSW,97,22
GNEL,Q3,3086
DGTR,86,VJ_48
DTCO,347,1332
TFLO,32,317160
IPSW,12,72
SCMN,42,66
TFLO,P13,206907
SCGL,S6,82
NATX,100,100201
ANWE,2,1103
TNXB,X4,230
TFLO,121,311492
TFLO,185,10756
AMSY,79,1199
FMAN,84,2050
SCMN,112,227
TFLO,320,205851
FMAN,81,1935
SCMN,201,163
SCMN,117,7201
TFLO,32,317271
SCMN,250,167
TFLO,320,205868
SCGL,7,75
SCMN,192,579
SSWL,52,60
SCMN,382,7020
LLCO,T3C,1903
SCMN,202,7057
TNXB,82,142
SCMN,192,513
SCMN,25,47
SCGL,9,56
LLCO,T12,16_56
COMT,19,15
DTCO,20,1700
ANUM,57A,1528
XLBL,X11,1351
FECS,X11,105
TFLO,40,17683
FBRI,U2,0838
MINS,722,1730
TFLO,281,401956
AMSY,55,1059
WRAY,203,2311
SCNH,15,53
DAGC,32,151
SCMN,216,145
SCMN,76,7004
SCNE,63,102
TFLO,284,68052
SCNH,148,170
SCMN,216,157
SCNH,X47,31
AMSY,432,1073
TFLO,285,325598
SCNH,3,74
ANUM,X7,1053
SCMN,15,80
SCMN,42A,7138
CRDR,62,122
ANUM,1,1554
TFLO,285,325843
SCNH,A9,44
TFLO,285,325649
TFLO,D6,236582
TFLO,D6,236156
SCMN,255,47
SCMN,325,149
SCMN,11,7802
AMID,51,1071
SCMN,322,7026
BNVB,982,1500
SCMN,43,174
FCWL,U1,72
SDVN,38,61
IPSW,13,137
COMT,25,9
SCMN,25,52
TFLO,D7,574061
COMT,19,1725
TFLO,210,31980
FECS,28,104
SCMN,172,7034
SCMN,250,160
TFLO,D7,573976
FPOT,25,2057
SCMN,255,7059
TFLO,E10,46341
SCMN,42B,7046
TFLO,106,224451
SCMN,86,359
TFLO,E10,46376
TFLO,E10,
TFLO,E10,46498
TFLO,E11,156515
FPOT,11,1840
FHAM,28A,30
FHAM,F1,16
SCMY,X1,81
SNDR,44,1745
SCMY,EL1,83
SCMY,1,94
SCMY,21,97
TFLO,266,502383
SCMY,17,155
TFLO,266,502429
TFLO,266,502591
FBRI,522,1935
FBRI,7,1650
CUBU,135,1908
BANG,5A,1740
TFLO,29,592541
FBRI,m1,2020
BNGN,474,1033
FECS,99,43
TFLO,E2,202210
TFLO,E2,202393
TFLO,E2,202273
SCCM,13,63
BMCS,GH1,20
WNCT,2,2444
TFLO,422,257682
WNCT,60,6042
SCMY,20,118
TFLO,W4,
FSYO,76,2033B
SCMY,19,166
FSYO,X5,2030
BMCS,GH1,39
FSYO,X5,1752
TFLO,96,625463
SCMY,125,158
SCNE,63,106
SCMY,1,53
BNGN,582,1068
FBRI,42,1925
FSYO,75,2106
FSMR,30,1801
TFLO,96,625513
SCCM,MK1,58
DIAM,61,25
SCCM,4,51
FSYO,97,1907
SCMY,2A,32
SCNE,10,50
SCGL,10,27
TFLO,220,422088
SCNE,14,51
DIAM,18,53
FSRV,231,1615
SCCM,4,3003
SCMY,2A,31
AMSY,75,1117
SCMY,86,93
SCMY,6,63
TFLO,E1,332202
SCNE,12,156
SCMY,10A,73
FSYO,50,1827
TFLO,270,58747
SCMY,59,175
DIAM,192,21
SCMY,20,114
FBRI,1,1930
SCMY,14,279
FBRI,X7,2030
SCMY,111,118
WBSV,500,16
FBRI,X5,1850
SCMY,280,26
SCGL,10,73
SCMY,14,285
SCMY,16,74
TFLO,211,388947
SCMY,P1,143
SCGL,9,50
KDTR,K9,9165
TPEN,22,1497
AMID,6A,1058
SCMY,217,81
SSWL,35,141
SCNH,U1,801
FCYM,T1,1735
TPEN,360,6617
DIAM,4H,333
FBRI,m3,1815
YCST,843,0162
FCYM,90,1840
ACYM,4B,1003
ADER,1A,1089
FCYM,12,2040
GLLN,420,4273
AMID,127,1091
FBRI,A1,0841
RLNE,130,1900
TPEN,574,3453
SCNH,51,5
WHIP,U1,152
NIBS,81,28
UNIB,635,62223
SCNH,148,168
UNIB,610,610151
FCYM,2,1726
FCYM,PR2,1850
TFLO,433,217432
FBRI,21,2030
IPSW,2,50
TFLO,433,217624
FCYM,63,1800
TFLO,321,271405
FBRI,24,1826
FCYM,69,1830
TFLO,436,148491
FBRI,42,0806
TFLO,436,148369
TFLO,81,369140
TFLO,333,607985
TPEN,587,3738
FCYM,72,1718
TFLO,436,148403
TFLO,436,148332
TFLO,436,148551
TFLO,436,148614
FCYM,20,1900B
FOWT,43,1310
FCYM,128,1740
TFLO,260,695680
TFLO,81,368971
FHUD,306,1803
FCYM,302,1700
FHAL,586,2120
HUYT,39,2245
TFLO,44,622961
HRGT,36,3830
TFLO,44,623175
TFLO,44,623201
TFLO,44,622935
FHAL,508,2020
TFLO,83,333293
RDCA,356,2029
SCOX,200,125
FCYM,356,1730
FCYM,84,1805
IPSW,7,6
SCOX,TUBE,133
TFLO,44,623120
TFLO,44,623148
TFLO,444,369492
TFLO,440,696233
ARBB,2,1030
TFLO,192,52916
FHUD,370,2100
TFLO,47,623660
WBTR,15,7049
TFLO,192,52664
FHUD,306,2033
NADS,1C,24
FCYM,349,1830
TFLO,192,52856
WBTR,28A,7265
FYOR,7,1805
FLDS,4,2030
FLDS,49,1440
TFLO,122,553876
TFLO,23,57735
TFLO,192,52688
SDVN,12,151
TFLO,452,343225
FLDS,50A,2021
TFLO,452,343083
BBCG,485,1555
AKSS,116,1031
AMSY,79,1011
TFLO,182,97505
AMTM,A,1171
ARHE,328,1054
TFLO,453,153228
TFLO,453,153095
TFLO,453,153364
ARHE,328,1045
TFLO,193,100927
FYOR,6,1824
ARHE,301,1043
ARHE,724,1070
ARHE,1,1140
TBTN,3A,101930
TFLO,182,97454
ARHE,10,1085
TFLO,182,97225
SDVN,22,76
TFLO,182,97373
HDGS,34,993412
ARHE,310,1122
ROST,403,0945
CLNB,X442,1854H
TFLO,83,333255
TBTN,if,102105
TFLO,183,652006
TFLO,183,652208
TFLO,384,315229
TFLO,184,392895
ARHE,310,1120
ARHE,1,1150
SCCU,42,109
TFLO,185,10328
FMAN,409,1820
FESX,9,26
TFLO,185,10417
TFLO,185,10639
TFLO,9,447154
SCCU,563,6
MBTR,R1,1650
FESX,300,69
SCCU,100,93
ROST,464,2118
FECS,26,103
HNTS,x4,1123
TFLO,185,10541
TFLO,187,403163
TFLO,186,545359
TFLO,188,534013
TFLO,188,534317
TFLO,188,533930
TFLO,188,534095
GTRI,X50,2106
SDVN,39,55
ADER,4,1073
FESX,X10,78
TFLO,189,537154
TFLO,19,405552
SDVN,87A,31
LMST,DRT,1
FESX,174,3
TFLO,19,405881
NADS,6A,16
FECS,39,63
IPSW,92,16
ESTS,H6,1643
IPSW,15,27
SCMN,38,130
TFLO,174,698662
IPSW,15a,24
SSWL,T14,13
IPSW,15a,22
IPSW,4,38
FECS,38,128
FECS,5,20
IPSW,2,48
ACYM,13,1025
ACYM,21E,1051
AKSS,101,1122
IPSW,5E,101
WRAY,102,1143
IPSW,15a,26
DIAM,326,31
SCMN,143,308
WRAY,163,1633
MDCL,18,10
TFLO,86,603207
WRAY,163,1710
TFLO,86,603518
TFLO,86,602901
WRAY,126,3801
TFLO,147,41014
TFLO,104,22452
KCTR,113,17
TFLO,86,603588
AMID,29,1049
FECS,36A,143
ANWE,82A,1060
MIKO,39,1718
TFLO,86,603097
TFLO,86,602932
SCGL,62,339
SSWL,130,93
TFLO,86,603494
MULM,M88,9
DIAM,125,23
ANWE,79C,1069
TFLO,290,140018
DIAM,4H,318
TFLO,190,203093
TFLO,290,139973
AMSY,31,1103
WHIP,66,6637
TFLO,87,495635
TFLO,87,495838
ARHE,8,1127
ANWE,61,1528
SSWL,X15,982
YSQU,9,1710
TFLO,9,447426
ANWE,79C,1094
TFLO,9,447087
FTVA,RA2,70
ANWE,2,1121
AMSY,56,1057
FHAM,9,48
TFLO,90,397344
FHAM,E1,93
FTVA,A4,93
SCMY,21,117
BBCG,39,1700
LUTD,KU1,94
BDRB,SJL3,1520
SSWL,50A,24
FTVA,8,49
BBCG,96,1725
FBRI,U2,1719
TFLO,197,155230
TBTN,3B,101855
BBCG,97,1710
AMSY,61A,1065
GONW,135,0185
GONW,93,0081
NIBS,269,12
ASHT,26A,7
FBRI,522,0918
ESTS,911,1707
LEMB,20,26
TFLO,183,652246
TFLO,183,652189
TFLO,183,651905
TFLO,453,153462
ZSIN,K1,52
AMSY,13,1175
TFLO,183,652148
TFLO,B13,177123
ENSB,44,2020
CKMR,126,1720
FBRI,7,1710
RELD,30X,1609
GNEL,96,1653
FESX,27,95
TFLO,183,652111
KCTR,125,10
AMSY,62,1054
FESX,100,78
TFLO,183,652052
TFLO,184,392761
TFLO,P4,595238
TFLO,184,392561
TFLO,184,392623
TBTN,one,111750
FECS,14,83
TBTN,one,102105
AMSY,56,1053
TFLO,186,545369
FESX,28,161
ARBB,X8,1038
SBS,878,1535
LCIS,City_Beatles_Tour,VJ_24
TFLO,187,403362
NT,11,NT11-Out-51011-NT3390W3-2024-02-12T21:00:00-2024-02-12
TFLO,187,403333
GNEL,105N,8051
TFLO,186,545264
BRTB,igo,111921
NT,40B,NT40B-Out-55040-NT3390Q2-2024-02-12T18:35:00-2024-02-12
TFLO,192,52822
TFLO,188,534293
COAC,99,1710
NT,28,NT28-Out-5028-NT3390J6-2024-02-12T19:00:00-2024-02-12
NT,68B,NT68B-In-7068-NT3390SW09-2024-02-12T18:50:00-2024-02-12
NT,58,NT58-Out-5058-NT3390P2-2024-02-12T18:45:00-2024-02-12
BHBC,12,263
TFLO,188,534031
TFLO,U9,473185
TFLO,397,298400
ARBB,7,1075
NT,77,NT77-Out-1077-NT3390M4-2024-02-12T17:37:00-2024-02-12
TFLO,188,534180
NDTR,RRN,1530
ARBB,F70,1125
SCNE,62,105
A2BV,81,1720
NT,35,NT35-In-14035-NT3390BU05-2024-02-12T20:52:00-2024-02-12
BNVB,959,91510
TFLO,188,534055
TFLO,231,346302
BNSM,998,1510
TFLO,W15,171782
NT,35,NT35-Out-5035-NT3390J3-2024-02-12T17:20:00-2024-02-12
ARBB,POS1,1
SCNE,63,81
SCNE,1,25
FBRI,7,2040
PLYC,23,101
SCNE,UTCG,6
SCNE,X87,79
KBUS,12,102030
RBUS,3,106
SCNE,36,118
TFLO,188,534378
FBRI,4b,2031
SCNE,37,47
SCNE,12,138
FBRI,U1,1722
FBRI,U1,1315
TFLO,W3,676566
SCNE,59,26
FBRI,U1,1835
TFLO,154,597139
SCNE,3,87
SCNE,30,26
TFLO,W3,676305
ANEA,64,1105
TFLO,312,554347
SCNE,317,52
SCNE,11,52
FYOR,10,2016
FLEI,15,1727
TFLO,19,405679
TFLO,19,405787
FHAM,2,165
TFLO,190,203061
TFLO,313,16228
TFLO,88,46973
TFLO,67,160503
ENSB,77,1740
FBRI,44,2110
TFLO,157,513493
FBRI,24,2017
FBRI,A1,1753
TFLO,76,331038
FBRI,m4,2030
FBRI,70,2010
TFLO,156,282697
FBRI,17,1743
TFCN,40,28
OXBC,OXF,7086
BDRB,580,1715
TFCN,39A,35
TFCN,48,35
WMSV,101,2010
THTR,X2,4090
DEWS,904,1800
TFCN,26,40
DAGC,94A,146
TFLO,180,400617
TFLO,16,338267
TFLO,199,63273
TFCN,94,35
CRDR,26,143
FBRI,m1,0912
SCCM,3,82
REAY,75,1328
TFCN,48,38
REDE,62,1630
TFCN,25,37
TFLO,242,74724
TFCN,40,26
CRDR,828,158
TANV,79A,1705
SCGL,63,210
SCGL,10,109
SCGL,55,82
PLYC,999,1429
SCGL,65,148
FBRI,17,1817
SCGL,41,43
SCGL,64,211
FBRI,21,2015
TFLO,B15,647523
FBRI,76,2018
SCOX,S7,59
HGCO,19,1530
FBRI,m1,2120
FBRI,AZ1,1830
SCOX,8,84
TFLO,178,404817
ANSL,A2,1805
CT4T,319,VJ_1
FBRI,U1,1900
FBRI,6,1837
SCCU,X6,27
SVCT,1,1168
SCCU,X6,29
TFLO,182,97548
TFLO,184,392511
FBRI,20,1852
DIAM,41,45
SCMN,85A,7027
TFLO,203,51088
TFLO,A10,316956
AMTM,470,1015
FBRI,7,1725
AMTM,477,1023
FBRI,X5,1520
ANEA,49,1083
AKSS,166,1129
ANEA,58,1530
ARHE,725,1054
WMSV,108,College
AKSS,2,1045
KDTR,K3,2249
AKSS,176,1051
WBCT,47,10
TFLO,W3,676132
TFLO,137,558293
ANEA,X22,1552
FBRI,m1,0840
FHAL,590,1748
FESX,C10,28
SCMN,219,161
SCMN,143,833
FHUD,310,1850
SCMN,142,174
FBRA,608,1745
SCMN,142,160
SCMN,203,179
TPEN,20,1097
FLDS,13,1850
TFLO,54,377943
SCMN,313,7051
SCMN,25,54
SCMN,111,146
FLDS,13,0826
SCMN,142,179
FLDS,4F,1811
FLDS,X84,1806
SCMY,38A,1057
SCMY,1,98
ANWE,247,1050
FCYM,90,2055
AMSY,54,1023
AMNO,4,1099
FLDS,16A,2108
TPEN,563,3346
SCMY,125,151
FESX,C4,105
TFLO,220,422322
TFLO,18,508247
AMNO,7E,1007
AMSY,47,1058
FCYM,X13,2000
FCYM,X11,1830
TFLO,141,672588
AMSY,320,1116
AMNO,5E,1026
HOPE,304,1705
TFLO,34,584999
TFLO,142,52318
RRTR,73,1745
SDVN,B,424
TFLO,102,203656
ANEA,X3,1023
AMSY,89,1085
AMSY,68A,1102
SSWL,T14,21
AMSY,86A,1211
DAGC,317,417
AMSY,68A,1104
FCYM,PR1,1845
FHAM,2,155
TFLO,74,708695
TFLO,74,708443
FCYM,X2,1835
SCCM,2,467
TFLO,314,101369
TFLO,314,101165
SULV,84,62
GNEL,X66,611
BLUS,17,1661
BRTB,mln,111957
FHAM,9A,21
ANEA,56,1026
BLUS,2,1830
SVCT,3,1852
TFLO,W3,676723
WDBC,1B,2010
SCNE,38,42
TFLO,316,308281
TFLO,77,170080
TFLO,316,308482
TFLO,316,308626
TFLO,221,18593
FCYM,6,2050
AMSY,52A,1158
SCNE,1,154
WDBC,1C,1911
WDBC,26,1731
COMT,32,26
WDBC,1A,2031
TFLO,181,610935
TFLO,170,680688
SCNE,37,46
TFLO,181,610708
SCNE,22X,139
AMSY,68A,1105
SCNE,52,94
SWWD,PR3,1911
FHAM,7,124
AMSY,52A,1144
FTVA,A4,2050
SCNE,63,88
SCNE,36,102
SCNE,38,54
SCNE,12,123
TFLO,316,308528
COMT,123,16
SBS,878,1605
SCNE,6,134
TFLO,8,234981
SCNE,X24,32
SBS,878,1705
SMMC,428,1738
SCNE,59,30
TFLO,8,235182
TFLO,8,234811
TFLO,8,234732
RRAR,RA1,68
TFLO,8,234927
AMGR,69,7
AMGR,5,6
IPSW,3,104
RGNT,35,1758
SCNE,10,71
NATX,540,540855
SCNE,3A,43
FRMN,162,1830
TFCN,85,37
SCNE,317,50
TFLO,319,103778
SCNE,22,150
FCWL,U1,22
GNEL,353,9330
TBTN,ra,102000
FSRV,44K,1850
FCWL,27,7
FSYO,82,1650
TBTN,mic,102100
ANUM,X21,1076
TFLO,319,104077
GNEL,12,8057
BRTB,cal,102010
TLYH,164,1900
GNEL,6,660
HIPK,61,1520
GNEL,6,660
KBUS,sky,101935
NATX,403,403807
GNEL,35A,3558
SULV,84,44
NATX,540,540853
TFLO,320,205825
FCWL,LAND,9
GOCH,AZ,20
TFLO,320,205891
TBTN,if,101845
TFLO,320,205756
FCWL,U4,26
TFLO,380,620549
ANUM,57A,1024
TBTN,H1,101805
RRTR,100,1800
NWBT,4B,0000
MDBC,329,1540
RRTR,100,1900
TFLO,482,481752
ROST,10,0045
BHBC,27,128
BRTB,key,101932
BHBC,2,97
RRTR,17,1813
RRTR,40,1810
PROC,159,1805
BHBC,5B,160
BHBC,1A,272
TFLO,281,401885
PROC,73,1305
SESX,112,58
BHBC,12X,218
FTZL,310,1850
PCCO,43,1730
TFLO,203,
AMSY,201,1004
SESX,505,5052
SESX,504,5042
PCCO,49,1920
TFCN,11,62
BHBC,12A,255
GONW,135,0165
WNCT,32,1725
FMAN,59,1612
WNGS,555,0803
FYOR,9,1749
FMAN,881,1510
BLAC,7a,1071
ADER,2,1065
ROSS,158,15
BLAC,11,1060
TFLO,80,222166
TFLO,56,491394
SCCU,2X,15
GHCT,594,1720
TFLO,4,381735
DAGC,1,163
SCCU,67,123
TFLO,425,476784
AMID,58A,1083
TFLO,56,491219
SCNE,6,326
TFLO,83,333127
SCNE,31,78
AMSY,320,1117
TFLO,83,333316
DAGC,12,456
ADER,38,1135
TFLO,C3,698150
FCWL,T1,44
TFLO,C3,698109
DAGC,SJD,703
SCNE,36,112
SCNE,61,181
TFLO,D7,573886
AMSY,300,1052
WBCT,44,16
GPLM,42,24
SCNE,317,55
SCNE,59,88
STTR,406,1400
TFLO,D8,240992
SCNE,31,67
TFLO,D8,240848
SCNE,X34,73
GNEL,4,4119
SCMN,368,7002
AMSY,423,1058
TFLO,87,495498
TFLO,87,495573
SWCO,1B,4221
SCNE,3,122
SCNE,E6,51
TFLO,D8,241068
TFLO,651,
TFLO,233,71360
GNEL,353,5310
FPOT,11B,1804
TFLO,E10,46516
TFLO,E1,332266
FSMR,45,1458
GTRI,389,1827
AMSY,49,1098
TFLO,E10,46536
TFLO,E10,46466
TFLO,E10,46406
TFLO,E2,202462
SCMN,86,369
FSMR,144,1717
SCMN,221,1
SCNE,10,67
AMSY,310,1063
SBS,7,1903
TFLO,E2,202316
SBS,436,1810
SCMN,74,125
TFLO,E2,202345
TFLO,120,510539
NVTR,169,1331
FLEI,38,1743
TFLO,E3,353694
SCMN,358,7029
SCMN,172,7028
TFLO,E3,353674
AMSY,53,1103
KEVS,19,1737
KEVS,10,1803
AMSY,37,1047
SCEK,1A,107
FCWL,T1,38
FCWL,T1,46
FCWL,T2,41
SCEK,102,106
FCWL,U1A,31
TFLO,355,164238
WBTR,CAT8,5432
SCEK,31,23
TFLO,355,164271
TFLO,355,164214
SCEK,D,93
TFLO,356,89128
FHAM,28A,34
GNEL,327,2
SCEK,102,101
SCEK,51,874
AMSY,60,1110
SCEK,Loop,178
SCEK,Loop,156
SCEK,51,853
FHAM,3,132
AMSY,437,1139
SCEK,1A,34
TFLO,227,39049
TFLO,126,361536
SCEK,102,107
SCEK,100,131
FHUD,200,2012
SCEK,1066,832
TFLO,312,554351
SCEK,9,11
TFLO,358,89442
AMSY,472,1074
SCEM,12,3054
FCWL,MOUS,88
SCEK,91,914
AMSY,411,1045
WDBC,6,1511
FHUD,328,1743
SCEM,12,1070
SCEK,B,76
BRTB,rv,111915
UNIL,U2C,1451
SCEM,4,4103
SCEM,1,56
SCEM,PRO,106
SCEM,53,21
SVCT,4,2224
FLDS,16,1736
BNGN,520,1017
BLUS,19,1721
SCEM,4,4100
TFLO,C10,617696
SCEM,350,38
ACYM,13,1034
FLDS,15,0910
SCEM,106,6522
WDBC,3,0921
AMID,37,1090
SCEM,16,81
SCEM,53,22
SCEM,25,5027
TFLO,86,602957
SCEM,1A,6052
REDE,160,1400
SCEM,141,3025
ACYM,5,1043
PBLT,100,0912
LEMN,47,131
TFLO,128,652405
REDE,S6,1922
SCEM,1,3172
REDE,61,1900
TFLO,276,399475
CUBU,135,9165
FALC,456,1843
AKSS,85,1034
AKSS,700,1026
SCEK,101,32
REPT,478,10
CUBU,214,1730
AMSY,89,1048
WDBC,70,1811
AMSY,62,1070
TFLO,330,20126
SCSO,64,55
MINS,745,1315
SCSO,10,23
SCSO,700,318
SCSO,700,121
SCSO,69,33
SCEM,12,1074
TFLO,474,120084
AMSY,26,1175
SCSO,51,74
SCSO,WPR,122
SWWD,PR7,1911
BLUS,8,1811
SCEK,1A,99
AMSY,86A,1197
AMSY,79,1185
AMSY,375,1052
DIAM,32,294
AMSY,86A,1218
SCSO,500,115
AMID,158,1059
SCEK,1,90
SCSO,23,137
HCTY,11,1640
SCEK,Loop,161
SCGL,S6,34
SCEK,8,98
TFLO,130,313700
SCSO,34,53
SCEK,349,914
AMSY,10B,1138
FSMR,30,1853
SCEK,B,97
SCSO,1,32
SYRK,25,112
SCEK,2A,14
TFLO,140,198957
SCSO,9,28
SYRK,25,114
SCEM,1,52
YSQU,9,1610
AMSY,62,1067
TFLO,292,545941
SCSO,23,144
TFLO,293,594467
SCEM,111,1003
SYRK,7,56
SYRK,52,112
YYTG,113,2015
TFLO,109,65792
SYRK,1,608
TFLO,109,65926
TFLO,109,65635
TFLO,11,417566
SCEM,77,5031
TFLO,464,196474
SYRK,43A,84
AMSY,79,1147
SYRK,77,18
SCEM,5,1133
AMSY,12,1221
SCEM,1,6033
SCEM,8,4043
TFLO,P12,346903
NDTR,U1,1900
TFLO,13,628527
SCEM,1,9103
SCEM,5M,4049
TFLO,280,266940
SYRK,15,511
FCYM,34,1815
SCEM,3,64
GNEL,4,4117
TFLO,132,42902
SYRK,226,56
SCEM,9,4039
SCSO,5,58
SYRK,86,52
TNXB,10,59
FBRI,3,2125
AMSY,7,1060
TFLO,626,
SCEM,14,1067
SCEM,12,1080
SCEM,13,1089
BNVB,652,1510
SYRK,120,64
FMAN,409,2100
TFLO,132,43187
ANWE,61,1530
FBRI,D2x,1645
FMAN,81,2050
AMSY,437,1143
AMSY,471,1073
FMAN,83,1927
SCEM,350,6029
FBRA,686,1630
AMSY,26,1161
KDTR,64,6838
FMAN,409,1826
SCEM,8,1050
FBRA,622,1814
FBRI,3,1053
FYOR,6,2117
SCEM,SA,5018
AMSY,68E,1099
SCEM,23B,3054
SCEM,16,3118
SCEM,1,5
SCSO,700,113
GNEL,20,2090
SCSO,700,105
SCMN,330,158
SCSO,700,141
FYOR,67,1542
EYMS,56,1835
EYMS,105,1133
FBRA,645,1855
TFLO,47,623727
EYMS,75,9057
ANWE,1,1027
SCSO,13,27
FYOR,6,1854
TFLO,55,489036
SYRK,11,31
TFLO,55,489019
MBTR,180,1548
MBTR,R5,0835
SCSO,10,22
FYOR,1,1913
TFLO,55,488715
CRDR,3,424
SYRK,12,573
TFLO,110,327187
TFLO,8,234782
DAGC,1,1853
TFLO,110,326965
TFLO,110,327207
DAGC,130,422
SCSO,600,55
TFLO,111,194340
TFLO,110,327015
LNUD,152,6734
BPTR,M1,7209
TFLO,56,491153
TFLO,172,525274
GNEL,939,8393
FHUD,310,1048
BPTR,M5,0410
TFLO,134,219969
TFLO,135,49837
ARBB,F70,1114
TFLO,56,491368
EYMS,24,2436
FHUD,363,2023
FPOT,11,1940
EYMS,121,1250
TFLO,56,491099
TFLO,343,470133
FPOT,6,1900
SCSO,1,29
AMSY,61,1080
TFLO,57,406449
TFLO,57,406339
AMSY,10B,1162
DIAM,27,55
AMSY,15,1050
SCSO,D1,12
TFLO,427,9268
DIAM,16A,287
SCSO,46,22
TFLO,58,240410
TFLO,427,9231
WNGS,H5H,2051
FHUD,308,1751
BHBC,2,101
FHUD,X63,1808
TFLO,343,470297
REDE,319,1438
HNTS,4,1121
REDE,88,1800
TFLO,58,240716
TFLO,296,543068
EYMS,X47,4646
AMSY,79,1173
TFLO,58,240480
AMSY,79,1201
AMSY,86A,1214
TFLO,58,240527
