RecordedAtTime,ResponseTimestamp,Latency,OperatorRef
2024-02-22 19:21:21+00:00,2024-02-23 13:32:19.608194+00:00,120.0,LEMB
2024-02-23 08:34:32+00:00,2024-02-23 13:32:19.608194+00:00,120.0,COAC
2024-02-23 13:29:41+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 11:08:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 06:40:58+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 10:46:06+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 08:32:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:21:35+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 09:23:24+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-22 19:52:03+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 10:08:33+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 12:21:18+00:00,2024-02-23 13:32:19.608194+00:00,120.0,ABUS
2024-02-23 13:30:47+00:00,2024-02-23 13:32:51.003836+00:00,120.0,COAC
2024-02-23 13:24:37+00:00,2024-02-23 13:33:43.438217+00:00,120.0,SCGL
2024-02-23 13:30:23+00:00,2024-02-23 13:33:53.891354+00:00,120.0,SCGL
2024-02-23 13:32:44+00:00,2024-02-23 13:36:30.983514+00:00,120.0,SCGL
2024-02-23 13:34:30+00:00,2024-02-23 13:36:41.573311+00:00,120.0,TDTR
2024-02-23 13:35:15+00:00,2024-02-23 13:37:23.408111+00:00,120.0,SCGL
2024-02-23 13:34:49+00:00,2024-02-23 13:38:57.544617+00:00,120.0,LTRV
2024-02-23 13:40:31+00:00,2024-02-23 13:43:40.496451+00:00,120.0,FSRV
2024-02-23 13:37:21+00:00,2024-02-23 13:44:53.790415+00:00,120.0,SWWD
2024-02-23 13:39:06+00:00,2024-02-23 13:45:04.265008+00:00,120.0,SWWD
2024-02-23 13:39:39+00:00,2024-02-23 13:45:14.729445+00:00,120.0,SWWD
2024-02-23 13:40:45+00:00,2024-02-23 13:45:25.204448+00:00,120.0,SWWD
2024-02-23 13:38:31+00:00,2024-02-23 13:46:17.605824+00:00,120.0,SCGL
2024-02-23 13:43:56+00:00,2024-02-23 13:46:28.116561+00:00,120.0,SCGL
2024-02-23 13:42:49+00:00,2024-02-23 13:47:10.256722+00:00,120.0,FBRI
2024-02-23 13:43:42+00:00,2024-02-23 13:47:20.759876+00:00,120.0,TDTR
2024-02-23 13:45:28+00:00,2024-02-23 13:47:31.236111+00:00,120.0,TDTR
2024-02-23 13:33:04+00:00,2024-02-23 13:48:13.195859+00:00,120.0,BZCO
2024-02-23 13:43:41+00:00,2024-02-23 13:48:23.716233+00:00,120.0,FSRV
2024-02-23 13:39:28+00:00,2024-02-23 13:48:34.248437+00:00,120.0,BZCO
2024-02-23 13:41:38+00:00,2024-02-23 13:48:44.709101+00:00,120.0,BZCO
2024-02-23 13:46:43+00:00,2024-02-23 13:49:58.152933+00:00,120.0,SWWD
2024-02-23 13:48:49+00:00,2024-02-23 13:51:53.721385+00:00,120.0,NATX
2024-02-23 13:42:22+00:00,2024-02-23 13:53:28.085454+00:00,120.0,SWWD
2024-02-23 13:48:32+00:00,2024-02-23 13:53:38.614253+00:00,120.0,FBRI
2024-02-23 13:51:34+00:00,2024-02-23 13:53:38.614253+00:00,120.0,FSRV
2024-02-23 13:50:27+00:00,2024-02-23 13:53:49.115875+00:00,120.0,SWCO
2024-02-23 13:51:47+00:00,2024-02-23 13:53:49.115875+00:00,120.0,FSRV
2024-02-23 13:47:01+00:00,2024-02-23 13:53:49.115875+00:00,120.0,SWWD
2024-02-23 13:50:53+00:00,2024-02-23 13:54:20.589939+00:00,120.0,NATX
2024-02-23 13:50:32+00:00,2024-02-23 13:54:20.589939+00:00,120.0,SWWD
2024-02-23 13:51:20+00:00,2024-02-23 13:54:31.086624+00:00,120.0,FRMN
2024-02-23 13:50:54+00:00,2024-02-23 13:54:41.581740+00:00,120.0,SWCO
2024-02-23 13:52:20+00:00,2024-02-23 13:54:52.049567+00:00,120.0,SWCO
2024-02-23 13:47:22+00:00,2024-02-23 13:55:34.079073+00:00,120.0,SCSO
2024-02-23 13:53:07+00:00,2024-02-23 13:55:44.568869+00:00,120.0,SCSO
2024-02-23 13:44:05+00:00,2024-02-23 13:57:51.350461+00:00,120.0,SWWD
2024-02-23 13:44:12+00:00,2024-02-23 13:58:01.829243+00:00,120.0,SWWD
2024-02-23 13:44:19+00:00,2024-02-23 13:58:12.470008+00:00,120.0,SWWD
2024-02-23 13:44:29+00:00,2024-02-23 13:58:23.096829+00:00,120.0,SWWD
2024-02-23 13:39:50+00:00,2024-02-23 13:58:44.279278+00:00,120.0,SWWD
2024-02-23 13:56:08+00:00,2024-02-23 13:58:54.760097+00:00,120.0,FSRV
2024-02-23 13:41:39+00:00,2024-02-23 13:58:54.760097+00:00,120.0,SWWD
2024-02-23 13:51:10+00:00,2024-02-23 13:59:15.901663+00:00,120.0,SWWD
2024-02-23 13:56:40+00:00,2024-02-23 13:59:26.562020+00:00,120.0,SWWD
2024-02-23 13:57:13+00:00,2024-02-23 13:59:37.137695+00:00,120.0,SWWD
2024-02-23 13:38:13+00:00,2024-02-23 13:59:47.599667+00:00,120.0,SWWD
2024-02-23 13:58:47+00:00,2024-02-23 14:01:43.053770+00:00,120.0,SWWD
2024-02-23 13:58:51+00:00,2024-02-23 14:02:14.617548+00:00,120.0,SCSO
2024-02-23 13:55:16+00:00,2024-02-23 14:03:38.773620+00:00,120.0,SCGL
2024-02-23 14:03:21+00:00,2024-02-23 14:05:44.678529+00:00,120.0,FSRV
2024-02-23 14:01:45+00:00,2024-02-23 14:05:44.678529+00:00,120.0,COTS
2024-02-23 13:57:55+00:00,2024-02-23 14:06:05.680910+00:00,120.0,SWWD
2024-02-23 13:59:59+00:00,2024-02-23 14:06:05.680910+00:00,120.0,SCGL
2024-02-23 14:03:10+00:00,2024-02-23 14:06:26.660980+00:00,120.0,TDTR
2024-02-23 14:04:56+00:00,2024-02-23 14:09:56.964459+00:00,120.0,FSRV
2024-02-23 14:05:18+00:00,2024-02-23 14:10:28.520798+00:00,120.0,PULH
2024-02-23 14:06:34+00:00,2024-02-23 14:10:39.040462+00:00,120.0,NATX
2024-02-23 14:08:04+00:00,2024-02-23 14:10:49.566003+00:00,120.0,FSRV
2024-02-23 14:07:54+00:00,2024-02-23 14:10:49.566003+00:00,120.0,NATX
2024-02-23 14:08:59+00:00,2024-02-23 14:11:00.098604+00:00,120.0,NATX
2024-02-23 14:12:02+00:00,2024-02-23 14:15:02.112305+00:00,120.0,TDTR
2024-02-23 14:15:58+00:00,2024-02-23 14:19:14.971834+00:00,120.0,SCGL
2024-02-23 14:10:19+00:00,2024-02-23 14:19:35.993267+00:00,120.0,BZCO
2024-02-23 14:16:19+00:00,2024-02-23 14:19:46.503332+00:00,120.0,BZCO
2024-02-23 14:16:16+00:00,2024-02-23 14:19:57.026086+00:00,120.0,SCGL
2024-02-23 14:16:43+00:00,2024-02-23 14:20:39.171817+00:00,120.0,SCGL
2024-02-23 14:19:37+00:00,2024-02-23 14:22:35.241723+00:00,120.0,FSRV
2024-02-23 14:17:26+00:00,2024-02-23 14:22:35.241723+00:00,120.0,SWWD
2024-02-23 14:20:55+00:00,2024-02-23 14:23:06.841335+00:00,120.0,FSRV
2024-02-23 14:19:07+00:00,2024-02-23 14:23:17.374284+00:00,120.0,SWWD
2024-02-23 14:21:06+00:00,2024-02-23 14:23:27.879654+00:00,120.0,SWWD
2024-02-23 14:14:55+00:00,2024-02-23 14:23:59.447114+00:00,120.0,SCGL
2024-02-23 14:18:27+00:00,2024-02-23 14:26:37.594102+00:00,120.0,SCGL
2024-02-23 14:24:32+00:00,2024-02-23 14:26:48.126848+00:00,120.0,SCGL
2024-02-23 14:18:54+00:00,2024-02-23 14:27:09.171376+00:00,120.0,SWWD
2024-02-23 14:24:09+00:00,2024-02-23 14:27:09.171376+00:00,120.0,TDTR
2024-02-23 14:24:37+00:00,2024-02-23 14:27:19.720012+00:00,120.0,TDTR
2024-02-23 14:20:08+00:00,2024-02-23 14:27:19.720012+00:00,120.0,SWWD
2024-02-23 14:25:14+00:00,2024-02-23 14:28:12.573625+00:00,120.0,FBRI
2024-02-23 14:26:14+00:00,2024-02-23 14:28:33.750647+00:00,120.0,FBRI
2024-02-23 14:26:18+00:00,2024-02-23 14:28:54.939550+00:00,120.0,SWCO
2024-02-23 14:26:38+00:00,2024-02-23 14:30:51.033101+00:00,120.0,FSRV
2024-02-23 14:28:53+00:00,2024-02-23 14:31:01.602732+00:00,120.0,FSRV
2024-02-23 14:26:09+00:00,2024-02-23 14:31:33.386956+00:00,120.0,FRMN
2024-02-23 14:11:59+00:00,2024-02-23 14:32:05.231721+00:00,120.0,FRMN
2024-02-23 14:16:44+00:00,2024-02-23 14:32:26.361255+00:00,120.0,FRMN
2024-02-23 14:20:52+00:00,2024-02-23 14:32:47.500471+00:00,120.0,FRMN
2024-02-23 14:27:15+00:00,2024-02-23 14:32:58.037619+00:00,120.0,FRMN
2024-02-23 14:29:43+00:00,2024-02-23 14:33:08.578095+00:00,120.0,FRMN
2024-02-23 14:30:27+00:00,2024-02-23 14:33:19.150402+00:00,120.0,FRMN
2024-02-23 14:09:36+00:00,2024-02-23 14:33:29.704760+00:00,120.0,FRMN
2024-02-23 14:11:26+00:00,2024-02-23 14:33:40.239072+00:00,120.0,FRMN
2024-02-23 14:30:37+00:00,2024-02-23 14:34:11.898598+00:00,120.0,FSRV
2024-02-23 14:33:00+00:00,2024-02-23 14:36:08.107847+00:00,120.0,SCGL
2024-02-23 14:33:08+00:00,2024-02-23 14:36:18.636093+00:00,120.0,SCGL
2024-02-23 14:33:03+00:00,2024-02-23 14:38:46.186315+00:00,120.0,SWCO
