OperatorRef,LineName,JourneyRef,JourneyDate
FSYO,52a,1841G,2024-02-18
SCMN,50,63,2024-02-17
SYRK,88,82,2024-02-17
SYRK,1,101,2024-02-17
SYRK,X17,21,2024-02-18
SCMN,330,102,2024-02-17
SYRK,25,92,2024-02-17
SCMN,15,51,2024-02-17
FSYO,81,1812,2024-02-17
AMSY,27,5065,2024-02-18
MDBC,33,1400,2024-02-17
WBTR,15,6141,2024-02-17
SCMN,11,9142,2024-02-18
AMSY,31,3040,2024-02-17
SCMY,86,82,2024-02-18
SCMN,25,9040,2024-02-18
SCMN,192,302,2024-02-18
SCMN,142,129,2024-02-18
SCMN,7,9022,2024-02-18
HULS,257,1710,2024-02-18
AMSY,7,5046,2024-02-18
SCMN,192,261,2024-02-18
SCMN,85A,8021,2024-02-17
FSYO,20,1326F,2024-02-17
SCMY,82,87,2024-02-18
WBTR,2,4359,2024-02-17
AMSY,15,3098,2024-02-17
SCMN,42A,82,2024-02-17
AMSY,15,5020,2024-02-18
STOT,364,1650,2024-02-17
ANWE,19,5024,2024-02-18
AMSY,310,3059,2024-02-17
SCMN,42A,9054,2024-02-18
WBTR,4,4863,2024-02-18
SCMN,25,46,2024-02-17
AMSY,10B,5049,2024-02-18
AMSY,10A,5110,2024-02-18
AMSY,61,5052,2024-02-18
SCMY,17,134,2024-02-17
FSYO,116,1815A,2024-02-17
SCMN,330,69,2024-02-18
SCMN,15,57,2024-02-17
AMSY,60,3035,2024-02-17
SCEM,97,6511,2024-02-17
PCCO,LCCC053M,0700,2024-02-17
SYRK,108,501,2024-02-17
SYRK,137,526,2024-02-17
SYRK,88,78,2024-02-17
AMSY,8,3041,2024-02-17
SCEM,29,6511,2024-02-17
FSYO,20,1823C,2024-02-18
SCMN,203,86,2024-02-18
SCMY,38A,1526,2024-02-18
ANWE,263,3076,2024-02-17
FSYO,X10,2012,2024-02-17
SCMN,11,9136,2024-02-18
FSYO,115,2336,2024-02-17
AMSY,7,5045,2024-02-18
AMSY,14,5066,2024-02-18
SCMN,192,277,2024-02-18
AMSY,12,5133,2024-02-18
SCEM,100,6523,2024-02-17
SCMY,82,90,2024-02-18
WBTR,28A,7536,2024-02-18
AMSY,495,3035,2024-02-17
SYRK,7,50,2024-02-17
SCMN,313,8019,2024-02-17
SCMY,14,70,2024-02-17
SCMN,192,281,2024-02-18
DAGC,385,525,2024-02-17
SCMN,384,9027,2024-02-18
WBTR,20,7889,2024-02-17
SCMN,23,9001,2024-02-18
SCMN,111,115,2024-02-17
AMSY,10B,3089,2024-02-17
SCMN,111,91,2024-02-17
TMTL,X54,1935,2024-02-18
SCMN,25,9002,2024-02-18
CUBU,214,1702,2024-02-17
GTRI,254,1536,2024-02-17
SCMY,42,1651,2024-02-18
AMSY,RR1,1001,2024-02-18
WBTR,17,6997,2024-02-18
AMSY,12,5101,2024-02-18
SCMN,43,123,2024-02-17
SCMN,330,70,2024-02-18
SCEM,95,6512,2024-02-17
AMSY,204,5014,2024-02-18
WBTR,22A,8534,2024-02-17
AMSY,410,5053,2024-02-18
AMSY,9,3049,2024-02-17
AMSY,7,5044,2024-02-18
SCMN,43,107,2024-02-17
HUYT,17,1854,2024-02-18
SCEM,27,6511,2024-02-17
AMSY,360,3026,2024-02-17
WBTR,21,8387,2024-02-18
WBTR,CAT5,5144,2024-02-17
SCMN,256,46,2024-02-18
FSYO,76,1721,2024-02-17
AMSY,10B,5054,2024-02-18
SCMY,86C,83,2024-02-17
FSYO,X1,0522,2024-02-18
AMSY,12,5125,2024-02-18
FSYO,75,1710,2024-02-17
SCMN,197,9024,2024-02-18
SCMY,472,1625,2024-02-18
SCMN,384,29,2024-02-17
STOT,335,1719,2024-02-17
GTRI,371,1659,2024-02-17
GTRI,87,1702,2024-02-17
FSYO,20,1841F,2024-02-17
AMSY,10B,5051,2024-02-18
AMSY,15,5036,2024-02-18
GONW,67,0649,2024-02-18
SCMN,23,39,2024-02-18
AMSY,423,5048,2024-02-18
FSYO,115,1544,2024-02-17
FSYO,20,1544F,2024-02-18
SCMN,255,9011,2024-02-18
SCMN,192,533,2024-02-18
AMSY,423,5042,2024-02-18
SYRK,1,105,2024-02-17
AMSY,27,5063,2024-02-18
AMSY,79,5082,2024-02-18
SCMN,370,9022,2024-02-18
SYRK,1,106,2024-02-17
SCMN,192,278,2024-02-18
AMSY,409,3043,2024-02-17
SYRK,1,93,2024-02-17
SCMN,192,289,2024-02-18
FSYO,95a,1944,2024-02-17
NATX,550,423601,2024-02-18
SCMY,4,23,2024-02-17
SCMN,86,403,2024-02-17
SCEM,107,6515,2024-02-17
AMSY,10,5211,2024-02-18
SCMY,X2,24,2024-02-18
FSYO,97,1903B,2024-02-18
AMSY,433,3053,2024-02-17
FSYO,95,0840,2024-02-17
SCMN,11,9143,2024-02-18
SCMN,325,25,2024-02-18
AMSY,407,3078,2024-02-17
WBTR,CAT5,7328,2024-02-18
SCMN,111,117,2024-02-17
SCMN,42A,9074,2024-02-18
FSYO,76,0609B,2024-02-17
AMSY,437,5084,2024-02-18
AMSY,433,5040,2024-02-18
SCMN,314,9039,2024-02-18
AMSY,15,5072,2024-02-18
SCMN,11,42,2024-02-17
SCMN,203,89,2024-02-18
HUYT,29,1922,2024-02-18
SCMY,217A,24,2024-02-18
SCMN,85,58,2024-02-18
SCMN,171,8021,2024-02-17
ANWE,18,5011,2024-02-18
SCMY,53,36,2024-02-18
SCMN,143,109,2024-02-18
SCEM,2,6513,2024-02-17
AMSY,60,5053,2024-02-18
SCMN,43,129,2024-02-17
AMSY,10A,5201,2024-02-18
AMSY,10A,5088,2024-02-18
SCEM,21,5031,2024-02-17
FSYO,76,2405B,2024-02-18
AMSY,18,5071,2024-02-18
SCMN,42B,9032,2024-02-18
AMSY,14,5073,2024-02-18
SCMN,50,96,2024-02-18
NATX,540,455801,2024-02-18
AMSY,471,5034,2024-02-18
AMSY,68A,3060,2024-02-18
SCMN,192,279,2024-02-18
SCMN,192,304,2024-02-18
ANWE,79C,5048,2024-02-18
SCMY,21,101,2024-02-18
FSYO,X78,1616C,2024-02-17
AMSY,437,5083,2024-02-18
FSYO,52a,1921J,2024-02-18
FSYO,8,1854,2024-02-18
AMSY,14,5057,2024-02-18
FSYO,116,2305A,2024-02-17
SCMN,101,9061,2024-02-18
TMTL,218,611655,2024-02-17
AMSY,329,3043,2024-02-17
AMSY,464,5036,2024-02-18
AMSY,437,5032,2024-02-18
GTRI,370,1829,2024-02-17
SCMN,358,9020,2024-02-18
AMSY,352,3086,2024-02-17
SCMY,10A,66,2024-02-18
ANWE,19,3059,2024-02-18
FSYO,208,1645A,2024-02-17
FSYO,140,1229,2024-02-17
WBTR,16,6744,2024-02-18
SCEM,106,6516,2024-02-17
ANWE,247,5005,2024-02-18
SCEM,98,6510,2024-02-17
SYRK,1,87,2024-02-17
FSYO,97,1858B,2024-02-17
FSYO,115,0845,2024-02-18
SCMN,142,142,2024-02-18
SCMN,111,51,2024-02-18
SCMN,23,54,2024-02-18
SCMY,86,96,2024-02-17
FSYO,75,1715,2024-02-18
TMTL,31,611538,2024-02-17
SCEM,107,6517,2024-02-17
FSYO,95a,2044,2024-02-17
SYRK,21,514,2024-02-18
WBTR,2,4347,2024-02-17
SCEM,25,5027,2024-02-17
WBTR,21,8287,2024-02-17
NATX,171,170750,2024-02-18
AMSY,10,5207,2024-02-18
AMSY,55,5027,2024-02-18
SYRK,50,337,2024-02-18
WBTR,CAT5,7334,2024-02-18
SCMY,86,77,2024-02-18
HUYT,35A,2343,2024-02-17
AMSY,204,5020,2024-02-18
SCMN,111,79,2024-02-17
AMSY,86A,5091,2024-02-18
AMSY,437,3153,2024-02-18
SCMN,25,9042,2024-02-18
AMSY,89,5041,2024-02-18
AMSY,62,5043,2024-02-18
HIPK,199,1825,2024-02-18
AMSY,86A,5087,2024-02-18
AMSY,18,5067,2024-02-18
SYRK,52,58,2024-02-17
AMSY,34,3073,2024-02-17
SYRK,108,513,2024-02-18
AMSY,89,5043,2024-02-18
